продукт;ккал;белки;жиры;углеводы
сливки 20%;205;2,8;20,0;3,6
сметана 10%;116;3,0;10,0;2,9
сметана 20%;206;2,8;20,0;3,2
сырки и масса творожная особые;340;7,1;23,0;27,5
сыр российский;371;23,4;30,0;0
сыр голландский;361;26,8;27,3;0
сыр швейцарский;396;24,9;31,8;0
сыр Пошехонский;334;26,0;26,5;0
сыр плавленый;226;24,0;13,5;0
творог жирный;226;14,0;18,0;1,3
творог полужирный;156;16,7;9,0;1,3
творог нежирный;86;18,0;0,6;1,5
баранина;203;16,3;15,3;0
говядина;187;18,9;12,4;0
конина;143;20,2;7,0;0
кролик;199;20,7;12,9;0
свинина нежирная;316;16,4;27,8;0
свинина жирная;489;11,4;49,3;0
телятина;90;19,7;1,2;0
бараньи почки;77;13,6;2,5;0
баранья печень;101;18,7;2,9;0
баранье сердце;82;13,5;2,5;0
говяжьи мозги;124;9,5;9,5;0
говяжья печень;98;17,4;3,1;0
говяжьи почки;66;12,5;1,8;0
говяжье вымя;173;12,3;13,7;0
говяжье сердце;87;15,0;3,0;0
говяжий язык;163;13,6;12,1;0
почки свиные;80;13,0;3,1;0
печень свиная;108;18,8;3,6;0
сердце свиное;89;15,1;3,2;0
язык свиной;208;14,2;16,8;0
гуси;364;16,1;33,3;0
индейка;197;21,6;12,0;0,8
куры;165;20,8;8,8;0,6
цыплята;156;18,7;7,8;0,4
утки;346;16,5;61,2;0
икра кеты зернистая;251;31,6;13,8;0
икра лещовая пробойная;142;24,7;4,8;0
икра минтаевая пробойная;131;28,4;1,9;0
икра осетровая зернистая;203;28,9;9,7;0
икра осетровая пробойная;123;36,0;10,2;0
фундук;704;16,1;66,9;9,9
миндаль;645;18,6;57,7;13,6
грецкий орех;648;13,8;61,3;10,2
арахис;548;26,3;45,2;9,7
фисташки;642;20,8;51,6;16,4
семя подсолнечника;578;20,7;52,9;5,0
семя тыквы;596;29,00;46,7;13,1
кедровый орех;674;23,7;60;20,5
макароны с сыром;164;11,1;5;59,4
